,code,reg,alf15,alf14,alf13,alf12,alf11,alf10,alf09,alf08,alf07,alf06,alf05,alf04,alf03,alf02,alf01,alf00,alf99,alf98,alf97,alf96,alf95,alf94,alf93,af15,af14,af13,af12,af11,af10,af09,af08,af07,af06,af05,af04,af03,af02,af01,af00,af99,af98,af97,af96,af95,af94,af93,apl15,apl14,apl13,apl12,apl11,apl10,apl09,apl08,apl07,apl06,apl05,apl04,apl03,apl02,apl01,apl00,apl99,apl98,apl97,apl96,apl95,apl94,apl93
0,01,82,6773.0,6833,6862,6786,6896,6887,7165,7137,6495,6337,6327,6271,6146,6077,6017,6182,6189,6189,5916,5979,6140,5935,5806,47043.0,47042,46437,45850,45830,45522,45280,44683,44175,43795,43290,40274,39524,38917,38164,37570,36878,34243,35563,34975,34250,33751,33347,23605.0,23753.0,23681.0,23308.0,22870.0,21994.0,22253.0,21811.0,20262.0,19937.0,20857.0,21080.0,21703.0,22228.0,22382.0,23193.0,23815.0,23675.0,23681.0,24190.0,23817.0,23175.0,22409.0
1,02,22,13549.0,13801,13782,13755,14023,13938,14284,14285,13509,13291,13498,13171,13332,13374,13391,13320,12993,12599,12067,11669,11171,10579,9879,39350.0,39275,39016,38910,38983,38951,38996,38959,39021,39069,39281,37353,37148,37331,37410,37669,37945,36206,37638,37621,37479,37345,37129,25561.0,25949.0,25806.0,25438.0,25046.0,24744.0,24698.0,24629.0,23639.0,23252.0,24122.0,24216.0,24988.0,25864.0,26222.0,26672.0,27072.0,27432.0,27450.0,27830.0,27483.0,27279.0,26582.0
2,03,83,7020.0,7052,7060,6950,7068,7058,6994,7072,6575,6526,6622,6585,6578,6768,6866,6840,6818,6860,6786,6837,6904,6709,6604,20288.0,20347,20400,20270,20348,20299,20223,20116,19936,19907,19808,18688,18392,18364,18463,18520,18437,17575,18431,18435,18445,18433,18502,12674.0,13059.0,12935.0,12732.0,12653.0,12411.0,12462.0,12444.0,11952.0,11747.0,12240.0,12280.0,12545.0,13007.0,13192.0,13635.0,13973.0,14166.0,14314.0,14505.0,14518.0,14473.0,14316.0
3,04,93,4162.0,4160,4215,4178,4174,4210,4162,4143,3900,3866,3988,3889,3865,3810,3839,3827,3727,3659,3532,3407,3199,3106,2991,9948.0,10083,10017,10084,10145,10109,10085,10176,10211,10266,10244,9451,9239,9017,8836,8631,8460,7805,8107,7994,7696,7490,7177,4705.0,4719.0,4700.0,4583.0,4488.0,4342.0,4307.0,4235.0,4066.0,4014.0,4191.0,4172.0,4313.0,4379.0,4410.0,4445.0,4459.0,4516.0,4585.0,4714.0,4683.0,4658.0,4546.0
4,05,93,2452.0,2573,2597,2565,2557,2539,2541,2571,2351,2280,2259,2207,2285,2357,2405,2416,2315,2228,2231,2131,2081,2033,1928,8995.0,9046,9069,9030,9065,9150,9189,9178,9190,9194,9107,8307,8211,8077,7954,7847,7755,7034,7497,7378,7210,7022,6904,4647.0,4758.0,4731.0,4649.0,4642.0,4597.0,4576.0,4475.0,4171.0,4075.0,4271.0,4351.0,4497.0,4683.0,4749.0,4923.0,5040.0,4919.0,5007.0,5031.0,4942.0,4826.0,4686.0
5,06,93,26395.0,26679,27098,27211,27868,28226,28938,29234,27733,28418,29232,29445,30306,31263,31732,32351,32107,31404,30680,31028,30749,30383,28926,65870.0,66175,65672,64807,64664,64742,64851,64547,64789,64935,64924,61797,61069,60336,59126,57875,57148,50759,55266,54994,54352,53735,52647,29915.0,29645.0,28747.0,27830.0,27188.0,27376.0,27485.0,27117.0,26059.0,26338.0,27460.0,27605.0,28059.0,28760.0,28914.0,29365.0,29805.0,29928.0,29256.0,29004.0,27907.0,27588.0,26855.0
6,07,82,6740.0,6730,6755,6774,6719,6711,6776,6630,6143,6002,6044,5966,5831,5953,5987,5888,5749,5542,5459,5256,5108,4891,4824,22379.0,22457,22467,22430,22233,22174,22113,21977,21671,21417,21227,20032,19527,19066,18800,18487,18245,17195,17822,17636,17380,17163,17097,11177.0,11362.0,11414.0,11325.0,11283.0,11259.0,11532.0,11318.0,10606.0,10420.0,10688.0,10748.0,10986.0,11205.0,11375.0,11536.0,11625.0,11711.0,11750.0,11742.0,11719.0,11572.0,11416.0
7,08,21,6360.0,6410,6663,6883,6934,6964,7163,7165,6818,6691,6874,6771,6786,6745,6716,6559,6315,5989,5805,5637,5417,5142,4971,19091.0,19343,19544,19622,19725,19965,20138,20300,20521,20684,20939,19868,19912,19978,20168,20323,20519,19775,20449,20481,20452,20382,20531,14779.0,14964.0,15233.0,15241.0,15058.0,15017.0,15257.0,15352.0,14908.0,14943.0,15555.0,15762.0,16443.0,16947.0,17255.0,17770.0,18447.0,18811.0,18848.0,19145.0,19183.0,19151.0,18753.0
8,09,73,4341.0,4425,4446,4342,4305,4325,4438,4374,4047,3905,3901,3859,3808,3810,3734,3735,3658,3549,3370,3232,3148,3083,2954,9154.0,9234,9223,9170,9167,9148,9022,8961,8856,8748,8607,7914,7692,7496,7332,7230,7222,6824,7012,6955,6871,6756,6714,4062.0,4119.0,4117.0,4049.0,3926.0,3846.0,3783.0,3769.0,3588.0,3551.0,3733.0,3819.0,3873.0,4105.0,4229.0,4269.0,4458.0,4581.0,4619.0,4581.0,4436.0,4432.0,4387.0
9,10,21,5546.0,5585,5696,5598,5505,5403,5465,5488,4922,4705,4592,4379,4385,4318,4185,4177,4142,3946,3707,3629,3450,3073,2886,20836.0,20813,20673,20397,20263,20193,20008,19948,19891,19930,20055,18561,18360,18238,18290,18338,18506,17599,18387,18367,18203,18216,18047,17995.0,18024.0,17645.0,17381.0,17017.0,16895.0,17000.0,17026.0,16498.0,16432.0,16946.0,17195.0,17461.0,17703.0,17948.0,18326.0,18731.0,19004.0,19041.0,19211.0,18986.0,18661.0,18116.0
