,code,reg,alf15,alf14,alf13,alf12,alf11,alf10,alf09,alf08,alf07,alf06,alf05,alf04,alf03,alf02,alf01,alf00,alf99,alf98,alf97,alf96,alf95,alf94,alf93,af15,af14,af13,af12,af11,af10,af09,af08,af07,af06,af05,af04,af03,af02,af01,af00,af99,af98,af97,af96,af95,af94,af93,départements,Tx_Hab_an01,Tx_Hab_an02,Tx_Hab_an03,Tx_Hab_an04,Tx_Hab_an05,Tx_Hab_an06,Tx_Hab_an07,Tx_Hab_an08,Tx_Hab_an09,Tx_Hab_an10,Tx_FonBat_an01,Tx_FonBat_an02,Tx_FonBat_an03,Tx_FonBat_an04,Tx_FonBat_an05,Tx_FonBat_an06,Tx_FonBat_an07,Tx_FonBat_an08,Tx_FonBat_an09,Tx_FonBat_an10_vote,Tx_FonBat_an10_ref,Tx_FonBat_an11,Tx_FonBat_an12,Tx_FonBat_an13,Tx_FonBat_an14,Tx_FonBat_an15,Tx_FonNonBat_an01,Tx_FonNonBat_an02,Tx_FonNonBat_an03,Tx_FonNonBat_an04,Tx_FonNonBat_an05,Tx_FonNonBat_an06,Tx_FonNonBat_an07,Tx_FonNonBat_an08,Tx_FonNonBat_an09,Tx_FonNonBat_an10,Tx_Pro_an01,Tx_Pro_an02,Tx_Pro_an03,Tx_Pro_an04,Tx_Pro_an05,Tx_Pro_an06,Tx_Pro_an07,Tx_Pro_an08,Tx_Pro_an09
0,01,82,6773.0,6833,6862,6786,6896,6887,7165,7137,6495,6337,6327,6271,6146,6077,6017,6182,6189,6189,5916,5979,6140,5935,5806,47043.0,47042,46437,45850,45830,45522,45280,44683,44175,43795,43290,40274,39524,38917,38164,37570,36878,34243,35563,34975,34250,33751,33347,ain,4.229999989271164,4.439999997615814,4.44,4.44,4.659999996423721,4.939999997615814,4.939999997615814,4.939999999999827,5.68,5.75,5.379999995231628,5.649999991059303,5.65,5.65,5.929999992251396,6.28999999165535,6.28999999165535,6.289999999999964,7.23,7.32,10.6,10.9,12.54,13.67,13.85,13.97,18.919999957084656,19.869999945163727,19.87,19.87,20.85999995470047,22.10999995470047,22.10999995470047,22.109999999999673,25.42,25.73,6,6.299999997019768,6.3,6.3,6.61999998986721,7.019999995827675,7.019999995827675,7.019999999999982,8.07
1,02,22,13549.0,13801,13782,13755,14023,13938,14284,14285,13509,13291,13498,13171,13332,13374,13391,13320,12993,12599,12067,11669,11171,10579,9879,39350.0,39275,39016,38910,38983,38951,38996,38959,39021,39069,39281,37353,37148,37331,37410,37669,37945,36206,37638,37621,37479,37345,37129,aisne,8.73999997973442,9.359999984502792,9.52,9.71,11.02999997138977,11.309999972581863,11.409999996423721,11.479999999999563,11.48,6.53,11.819999992847443,12.659999996423721,12.87,13.13,14.919999986886978,15.28999999165535,15.429999977350235,15.52,15.52,25.0,31.72,31.72,31.72,31.72,31.72,31.72,25.599999964237213,27.429999947547913,27.89,28.45,32.3199999332428,33.12999999523163,33.42999994754791,33.6299999999992,33.63,19.14,6.829999998211861,7.319999992847443,7.44,7.59,8.61999997496605,8.839999973773956,8.919999986886978,8.9699999999998,8.97
2,03,83,7020.0,7052,7060,6950,7068,7058,6994,7072,6575,6526,6622,6585,6578,6768,6866,6840,6818,6860,6786,6837,6904,6709,6604,20288.0,20347,20400,20270,20348,20299,20223,20116,19936,19907,19808,18688,18392,18364,18463,18520,18437,17575,18431,18435,18445,18433,18502,allier,7.569999992847443,7.799999997019768,8.11,8.11,8.309999972581863,8.809999972581863,8.809999972581863,8.809999999999945,9.6,10.18,8.449999988079071,8.699999988079071,9.05,9.05,9.27999997138977,9.839999973773956,9.839999973773956,9.83999999999969,10.73,11.37,17.8,18.29,19.53,20.08,20.21,20.31,18.52999997138977,19.0799999833107,19.84,19.84,20.339999973773956,21.55999994277954,21.55999994277954,21.55999999999949,23.5,24.91,9.73999997973442,10.02999997138977,10.43,10.43,10.689999997615814,11.3299999833107,11.3299999833107,11.329999999999927,12.35
3,04,93,4162.0,4160,4215,4178,4174,4210,4162,4143,3900,3866,3988,3889,3865,3810,3839,3827,3727,3659,3532,3407,3199,3106,2991,9948.0,10083,10017,10084,10145,10109,10085,10176,10211,10266,10244,9451,9239,9017,8836,8631,8460,7805,8107,7994,7696,7490,7177,alpes de hte-provence,4.579999998211861,4.579999998211861,5.27,5.27,5.529999986290932,5.529999986290932,5.529999986290932,5.529999999999973,5.53,5.53,12.0,12.0,13.8,13.8,14.48999997973442,14.48999997973442,14.48999997973442,14.489999999999782,14.49,14.49,18.96,18.96,18.96,18.96,18.96,18.96,39.049999952316284,39.049999952316284,44.91,44.91,47.1599999666214,47.1599999666214,47.1599999666214,47.159999999999854,47.16,47.16,8.949999988079071,8.949999988079071,10.29,10.29,10.799999982118607,10.799999982118607,10.799999982118607,10.799999999999727,10.8
4,05,93,2452.0,2573,2597,2565,2557,2539,2541,2571,2351,2280,2259,2207,2285,2357,2405,2416,2315,2228,2231,2131,2081,2033,1928,8995.0,9046,9069,9030,9065,9150,9189,9178,9190,9194,9107,8307,8211,8077,7954,7847,7755,7034,7497,7378,7210,7022,6904,hautes alpes,4.049999997019768,4.25,4.65,4.65,4.649999991059303,4.649999991059303,4.649999991059303,4.649999999999864,6.05,6.05,10.919999986886978,11.469999998807907,12.56,12.56,12.559999972581863,12.559999972581863,12.559999972581863,12.559999999999945,16.33,16.33,20.91,20.91,20.91,20.91,20.91,20.91,55.86999988555908,58.6599999666214,64.23,64.23,64.22999978065491,64.22999978065491,64.22999978065491,64.22999999999956,83.5,83.5,7.129999995231628,7.489999994635582,8.2,8.2,8.199999988079071,8.199999988079071,8.199999988079071,8.199999999999818,10.66
5,06,93,26395.0,26679,27098,27211,27868,28226,28938,29234,27733,28418,29232,29445,30306,31263,31732,32351,32107,31404,30680,31028,30749,30383,28926,65870.0,66175,65672,64807,64664,64742,64851,64547,64789,64935,64924,61797,61069,60336,59126,57875,57148,50759,55266,54994,54352,53735,52647,alpes maritimes,6.299999997019768,6.299999997019768,6.3,6.3,6.299999997019768,6.299999997019768,6.299999997019768,6.2999999999999545,7.24,7.24,7.549999997019768,7.549999997019768,7.55,7.55,7.549999997019768,7.549999997019768,7.549999997019768,7.5499999999999545,8.68,8.68,12.42,12.42,12.42,12.42,12.42,12.42,5.1099999994039536,5.1099999994039536,5.11,5.11,5.1099999994039536,5.1099999994039536,5.1099999994039536,5.1099999999999,5.87,5.87,6.899999991059303,6.899999991059303,6.9,6.9,6.899999991059303,6.899999991059303,6.899999991059303,6.899999999999864,7.93
6,07,82,6740.0,6730,6755,6774,6719,6711,6776,6630,6143,6002,6044,5966,5831,5953,5987,5888,5749,5542,5459,5256,5108,4891,4824,22379.0,22457,22467,22430,22233,22174,22113,21977,21671,21417,21227,20032,19527,19066,18800,18487,18245,17195,17822,17636,17380,17163,17097,ardeche,5.469999998807907,5.739999994635582,6.26,6.32,6.699999988079071,7.239999994635582,7.459999993443489,7.6099999999999,7.99,8.23,9.28999999165535,9.75,10.63,10.74,11.379999995231628,12.28999999165535,12.659999996423721,12.909999999999854,13.56,13.97,17.7,18.05,18.41,18.78,18.78,18.78,47.9799998998642,50.359999895095825,54.89,55.44,58.769999980926514,63.46999990940094,65.36999988555908,66.67999999999665,70.01,72.12,8.449999988079071,8.86999997496605,9.71,9.81,10.399999976158142,11.229999989271164,11.569999992847443,11.799999999999727,12.39
7,08,21,6360.0,6410,6663,6883,6934,6964,7163,7165,6818,6691,6874,6771,6786,6745,6716,6559,6315,5989,5805,5637,5417,5142,4971,19091.0,19343,19544,19622,19725,19965,20138,20300,20521,20684,20939,19868,19912,19978,20168,20323,20519,19775,20449,20481,20452,20382,20531,ardennes,7.11999998986721,7.679999992251396,7.68,7.68,8.059999972581863,8.419999986886978,8.659999996423721,9.08999999999969,9.45,9.9,11.139999985694885,12.019999980926514,12.02,12.02,12.61999997496605,13.189999997615814,13.559999972581863,14.239999999999782,14.81,15.52,21.25,21.25,21.25,21.25,21.25,21.25,16.5799999833107,17.889999985694885,17.89,17.89,18.77999997138977,19.619999945163727,20.169999957084656,21.17999999999938,22.03,23.09,6.479999989271164,6.989999994635582,6.99,6.99,7.3399999886751175,7.669999986886978,7.879999995231628,8.269999999999982,8.6
8,09,73,4341.0,4425,4446,4342,4305,4325,4438,4374,4047,3905,3901,3859,3808,3810,3734,3735,3658,3549,3370,3232,3148,3083,2954,9154.0,9234,9223,9170,9167,9148,9022,8961,8856,8748,8607,7914,7692,7496,7332,7230,7222,6824,7012,6955,6871,6756,6714,ariege,5.709999993443489,5.909999996423721,6.39,6.61,6.939999997615814,7.149999991059303,7.28999999165535,7.3599999999999,7.51,7.74,10.729999989271164,11.109999984502792,12.02,12.43,13.049999982118607,13.439999997615814,13.709999978542328,13.849999999999909,14.12,14.54,21.15,21.15,21.15,21.15,21.15,21.15,51.25,53.03999996185303,57.35,59.3,62.269999980926514,64.1399998664856,65.41999983787537,66.06999999999971,67.4,69.42,11.939999997615814,12.359999984502792,12.85,13.07,13.729999989271164,14.139999985694885,14.419999986886978,14.559999999999945,14.86
9,10,21,5546.0,5585,5696,5598,5505,5403,5465,5488,4922,4705,4592,4379,4385,4318,4185,4177,4142,3946,3707,3629,3450,3073,2886,20836.0,20813,20673,20397,20263,20193,20008,19948,19891,19930,20055,18561,18360,18238,18290,18338,18506,17599,18387,18367,18203,18216,18047,aube,8.309999972581863,8.889999985694885,9.07,9.07,9.069999992847443,9.069999992847443,9.069999992847443,9.069999999999709,9.25,9.71,11.919999986886978,12.75,13.01,13.01,13.009999990463257,13.009999990463257,13.009999990463257,13.009999999999764,13.27,13.93,19.42,19.42,19.42,19.42,19.42,19.42,14.61999997496605,15.129999995231628,15.43,15.43,15.429999977350235,15.429999977350235,15.429999977350235,15.429999999999836,15.74,16.53,6.529999986290932,6.759999990463257,7,7,7,7,7.389999985694885,7.389999999999873,7.54
10,11,91,11517.0,11550,11559,11382,11265,11253,11226,10787,9861,9505,9392,9018,8846,8681,8365,8088,7784,7374,7078,6782,6845,6531,6234,22931.0,22816,22758,22613,22382,22073,21774,21538,21094,20907,20561,18941,18423,17957,17419,16974,16695,15132,15863,15399,15322,14944,14554,aude,7.379999995231628,7.379999995231628,8.24,8.64,9.069999992847443,9.429999977350235,9.429999977350235,9.429999999999836,10.01,10.2,16.539999961853027,16.539999961853027,18.48,19.39,20.35999995470047,21.169999957084656,21.169999957084656,21.169999999999163,22.47,22.9,30.69,30.69,30.69,30.69,30.69,30.69,42.93999993801117,42.93999993801117,47.96,50.31,52.829999923706055,54.92999994754791,54.92999994754791,54.92999999999847,58.31,59.42,11.479999989271164,11.479999989271164,12.82,13.45,14.11999997496605,14.679999977350235,14.679999977350235,14.679999999999836,15.58
