code,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,centre,droite,gauche,vert,xdroite,xgauche,Année,taux_centre,taux_droite,taux_gauche,taux_vert,taux_xdroite,taux_xgauche
1,AIN,1,68818,54262,53769,493,11669,22183,16677,0,2591,649,1965,21.70209600327326,41.256114117800216,31.016012944261565,0.0,4.818761740036081,1.2070151946288754
1,AIN,2,70186,57221,56780,441,7936,27569,18247,0,2366,662,1965,13.976752377597746,48.5540683339204,32.136315604085944,0.0,4.166960197252553,1.1659034871433602
1,AIN,3,67492,55503,55006,497,10811,24500,15494,0,3360,841,1965,19.65421953968658,44.54059557139221,28.167836236046977,0.0,6.108424535505217,1.5289241173690142
2,AISNE,1,52618,46064,45564,500,7242,23217,12999,0,1542,564,1965,15.894126942322886,50.95470107979984,28.52910192257045,0.0,3.3842507242559914,1.2378193310508296
2,AISNE,2,68770,59908,59145,763,8066,28791,19612,0,1986,690,1965,13.63767013272466,48.67867106264266,33.15918505368163,0.0,3.3578493532843012,1.1666243976667512
2,AISNE,3,48492,42604,41950,654,6688,20739,12231,0,1803,489,1965,15.942789034564958,49.43742550655542,29.156138259833135,0.0,4.297973778307509,1.165673420738975
2,AISNE,4,53732,47000,46369,631,6249,22267,15741,0,1524,588,1965,13.476676227652096,48.021307338954905,33.94724923979383,0.0,3.286678599926675,1.2680885936724968
2,AISNE,5,67138,58058,57522,536,8791,26853,19314,0,1949,615,1965,15.282848301519419,46.68300824032544,33.57671847293209,0.0,3.38826883627134,1.0691561489517054
3,ALLIER,1,55694,45789,45289,500,6155,19010,17199,0,2456,469,1965,13.590496588575592,41.97487248559253,37.97610898893771,0.0,5.422950385303275,1.035571551590894
3,ALLIER,2,64120,54742,54141,601,5171,19548,26943,0,1948,531,1965,9.550987237029238,36.105723943037624,49.76450379564471,0.0,3.5980125967381467,0.9807724275502854
3,ALLIER,3,57620,48003,47540,463,6161,16631,21984,0,2320,444,1965,12.959612957509465,34.98317206562894,46.24316365166176,0.0,4.880100967606226,0.9339503575936053
3,ALLIER,4,66930,56008,55418,590,8882,22798,18735,0,4321,682,1965,16.0272835540799,41.138258327619184,33.80670540257678,0.0,7.797105633548666,1.2306470821754665
4,ALPES-DE-HAUTE-PROVENCE,1,31060,25172,24848,324,3721,9179,9494,0,2123,331,1965,14.97504829362524,36.940598840952994,38.208306503541536,0.0,8.543947198969736,1.332099162910496
4,ALPES-DE-HAUTE-PROVENCE,2,31536,26193,25806,387,3061,9452,10496,0,2450,347,1965,11.86158257769511,36.62714097496706,40.67271177245602,0.0,9.493916143532513,1.3446485313492986
5,HAUTES-ALPES,1,31580,25916,25582,334,4330,10507,8897,0,1333,515,1965,16.925963568133845,41.07184739269799,34.778359784223284,0.0,5.210695019935892,2.013134235008991
5,HAUTES-ALPES,2,25998,19854,19610,244,3017,9594,5741,0,956,302,1965,15.385007649158593,48.92401835798062,29.275879653238142,0.0,4.875063742988272,1.5400305966343701
6,ALPES-MARITIMES,1,62170,52636,52032,604,7466,20705,17760,0,5529,572,1965,14.348862238622386,39.79281980319803,34.132841328413285,0.0,10.626153136531366,1.0993234932349323
6,ALPES-MARITIMES,2,66974,56657,56120,537,9291,22995,13831,0,9373,630,1965,16.55559515324305,40.974697077690664,24.645402708481825,0.0,16.701710620099785,1.1225944404846757
6,ALPES-MARITIMES,3,69269,58278,57597,681,8485,22683,17468,0,8346,615,1965,14.731670052259666,39.38225949268191,30.327968470580064,0.0,14.490338038439502,1.0677639460388562
6,ALPES-MARITIMES,4,60930,51035,50327,708,6213,23705,15405,0,4421,583,1965,12.345261986607586,47.1019532259026,30.609811830627695,0.0,8.784549049218114,1.1584239076440082
6,ALPES-MARITIMES,5,75032,64257,63551,706,10896,28705,15236,0,7918,796,1965,17.145284889301507,45.16844738871143,23.974445720759704,0.0,12.459284669005996,1.2525373322213655
6,ALPES-MARITIMES,6,74594,62918,62113,805,8584,28340,17184,0,7173,832,1965,13.819973274515801,45.62651940817542,27.665706051873197,0.0,11.548307117672628,1.3394941477629483
7,ARDECHE,1,58401,49565,49125,440,6744,21300,18213,0,2260,608,1965,13.72824427480916,43.3587786259542,37.07480916030534,0.0,4.600508905852418,1.2376590330788804
7,ARDECHE,2,56480,47425,46976,449,8933,22029,12769,0,2614,631,1965,19.016093324250683,46.89415871934605,27.181965258855588,0.0,5.564543596730245,1.3432391008174387
7,ARDECHE,3,50745,41450,41069,381,7495,16989,13544,0,2522,519,1965,18.249774769290706,41.366967785921254,32.978645693832334,0.0,6.140884852321703,1.2637268986340062
8,ARDENNES,1,54115,45812,45275,537,7357,21747,14076,0,1538,557,1965,16.249585864163446,48.03313086692435,31.090005521811154,0.0,3.3970182219768086,1.2302595251242407
8,ARDENNES,2,60575,51791,51311,480,5905,23528,19760,0,1567,551,1965,11.508253590847966,45.85371557755647,38.51026095768938,0.0,3.0539260587398416,1.0738438151663385
8,ARDENNES,3,52089,44594,44114,480,7161,21820,13210,0,1397,526,1965,16.232941923198986,49.46275558779526,29.94514213174956,0.0,3.166795121730063,1.192365235526137
9,ARIEGE,1,45146,36966,36597,369,2777,12109,19211,0,2205,295,1965,7.588053665601006,33.087411536464735,52.493373773806596,0.0,6.025084023280597,0.806077000847064
9,ARIEGE,2,49596,40288,39846,442,3084,15087,19105,0,2260,310,1965,7.739798223159163,37.86327360337299,47.947096320835215,0.0,5.671836570797571,0.7779952818350651
10,AUBE,1,43961,37866,37427,439,6588,17418,11875,0,1144,402,1965,17.60226574398162,46.53859513185668,31.728431346354235,0.0,3.05661688086141,1.074090896946055
10,AUBE,2,50812,43406,42921,485,6626,18879,15152,0,1872,392,1965,15.437664546492393,43.985461662123434,35.302066587451364,0.0,4.361501362969176,0.9133058409636309
10,AUBE,3,58650,50443,49932,511,7453,21972,18373,0,1708,426,1965,14.92629976768405,44.00384522951214,36.796042617960424,0.0,3.4206520868381,0.8531602980052871
11,AUDE,1,57558,49891,49166,725,6059,16080,23395,0,3148,484,1965,12.323556929585486,32.70552821055201,47.58369605011593,0.0,6.402798682016027,0.9844201277305455
11,AUDE,2,63160,53655,53006,649,4801,14248,29579,0,3940,438,1965,9.057465192619704,26.879975851790363,55.80311662830623,0.0,7.43312077877976,0.8263215485039429
11,AUDE,3,53259,45543,44821,722,5014,15931,20511,0,2940,425,1965,11.186720510475,35.54360679145936,45.76203119073649,0.0,6.559425269404967,0.9482162379241873
12,AVEYRON,1,62956,52557,51892,665,12785,26088,10035,0,2463,521,1965,24.637709088106067,50.27364526323903,19.338240961997997,0.0,4.746396361674247,1.0040083249826564
12,AVEYRON,2,59956,50755,50126,629,10318,16531,21058,0,1755,464,1965,20.584127997446434,32.97889318916331,42.01013446115788,0.0,3.5011770338746357,0.9256673183577385
12,AVEYRON,3,66133,55953,55058,895,14642,24160,12881,0,2646,729,1965,26.593773838497583,43.88099822005885,23.395328562606707,0.0,4.805841113008101,1.3240582658287623
13,BOUCHES-DU-RHONE,1,51159,38785,38477,308,5113,17092,9803,0,5900,569,1965,13.288458039867972,44.42134262026665,25.477558021675286,0.0,15.3338357980092,1.4788055201808872
13,BOUCHES-DU-RHONE,2,79574,64302,63824,478,8271,25242,19324,0,10141,846,1965,12.959074956129356,39.5493858109802,30.277011782401605,0.0,15.88900726999248,1.325520180496365
13,BOUCHES-DU-RHONE,3,60459,45921,45464,457,3690,19810,16349,0,5050,565,1965,8.116311807144115,43.572936829139536,35.960320253387295,0.0,11.107689600563083,1.2427415097659686
13,BOUCHES-DU-RHONE,4,62232,48934,48508,426,2387,16675,25204,0,3777,465,1965,4.920837799950523,34.375773068359855,51.95843984497402,0.0,7.786344520491466,0.9586047662241279
13,BOUCHES-DU-RHONE,5,56587,45217,44816,401,4016,17619,17282,0,5304,595,1965,8.961085326669046,39.314084255622994,38.562120671188865,0.0,11.835058907533025,1.3276508389860764
13,BOUCHES-DU-RHONE,6,59939,49168,48605,563,3813,18381,20309,0,5533,569,1965,7.844871926756507,37.817097006480815,41.78376710214999,0.0,11.383602510029831,1.1706614545828617
13,BOUCHES-DU-RHONE,7,54201,42285,41990,295,3016,15756,18371,0,4373,474,1965,7.182662538699691,37.523219814241486,43.75089306977852,0.0,10.414384377232674,1.1288402000476303
13,BOUCHES-DU-RHONE,8,76901,62751,62237,514,5905,24616,22613,0,8337,766,1965,9.487925189196137,39.55203496312483,36.33369217667947,0.0,13.395568552468788,1.2307791185307775
13,BOUCHES-DU-RHONE,9,78481,66663,65924,739,8956,22792,22771,0,10425,980,1965,13.585340695346156,34.57314483344457,34.54128997026879,0.0,15.813664219404162,1.4865602815363146
13,BOUCHES-DU-RHONE,10,99006,83125,82278,847,6528,27904,37479,0,9317,1050,1965,7.934077153066434,33.9142905758526,45.55166630204915,0.0,11.32380466224264,1.2761613067891782
13,BOUCHES-DU-RHONE,11,72244,62518,61718,800,6375,19499,28068,0,7049,727,1965,10.329239443922356,31.593700379143847,45.47781846462944,0.0,11.421303347483716,1.1779383648206359
14,CALVADOS,1,83754,72588,71976,612,14509,34921,18765,0,3099,682,1965,20.158108258308324,48.51756140935868,26.071190396798933,0.0,4.305601867289097,0.9475380682449706
14,CALVADOS,2,50308,43231,42814,417,11147,20328,9068,0,1851,420,1965,26.03587611528939,47.47979632830383,21.179987854440135,0.0,4.323352174522353,0.980987527444294
14,CALVADOS,3,56592,48674,48239,435,11981,23005,10802,0,1916,535,1965,24.83675034722942,47.68962872364684,22.39266983146417,0.0,3.971889964551504,1.109061133108066
14,CALVADOS,4,43047,36456,36160,296,8741,20302,5025,0,1727,365,1965,24.17311946902655,56.144911504424776,13.896570796460177,0.0,4.775995575221239,1.0094026548672566
14,CALVADOS,5,47886,41660,41179,481,10412,23193,5315,0,1889,370,1965,25.284732509288716,56.32239733844921,12.907064280337066,0.0,4.587289637922242,0.8985162340027684
15,CANTAL,1,57499,45751,45362,389,7903,22662,12621,0,1747,429,1965,17.422071337242627,49.958114721573125,27.822847317137693,0.0,3.8512411269344384,0.9457254971121203
15,CANTAL,2,53179,40888,40610,278,7905,21237,9209,0,1895,364,1965,19.46564885496183,52.295001231223836,22.676680620536814,0.0,4.6663383403102685,0.8963309529672494
16,CHARENTE,1,80216,67554,66964,590,6239,36303,20242,0,3631,549,1965,9.316946418971387,54.21271130756825,30.228182306911176,0.0,5.422316468550266,0.8198434979989248
16,CHARENTE,2,59939,50567,50079,488,5392,28731,13262,0,2330,364,1965,10.766988158709239,57.37135326184628,26.482158190059707,0.0,4.652648814872501,0.7268515745122706
16,CHARENTE,3,66168,55727,54995,732,4991,26786,20336,0,2448,434,1965,9.075370488226202,48.70624602236567,36.97790708246204,0.0,4.451313755795981,0.7891626511501045
17,CHARENTE-MARITIME,1,66133,54975,54610,365,7869,24331,18258,0,3502,650,1965,14.409448818897637,44.554110968687056,33.43343709943234,0.0,6.412744918513093,1.1902581944698774
17,CHARENTE-MARITIME,2,43978,35552,35210,342,5740,16009,11091,0,1960,410,1965,16.302186878727635,45.46719681908549,31.49957398466345,0.0,5.566600397614314,1.1644419199091167
17,CHARENTE-MARITIME,3,46202,37511,37077,434,6998,14454,13025,0,2239,361,1965,18.87423470075788,38.983736548264424,35.12959516681501,0.0,6.0387841519001,0.9736494322625887
17,CHARENTE-MARITIME,4,69197,56634,55905,729,9543,23465,18548,0,3813,536,1965,17.070029514354708,41.97298989356945,33.17771219032287,0.0,6.820499060906895,0.9587693408460781
17,CHARENTE-MARITIME,5,65071,53569,53015,554,8391,26306,13973,0,3682,663,1965,15.827595963406583,49.61991889087994,26.35669150240498,0.0,6.945204187494105,1.2505894558143922
18,CHER,1,64011,54026,53514,512,6229,24279,19669,0,2686,651,1965,11.639944687371528,45.36943603542998,36.75486788503943,0.0,5.019247299772022,1.216504092387039
18,CHER,2,64152,54773,54214,559,6724,23048,21604,0,2241,597,1965,12.402700409488324,42.51300402110156,39.849485372781935,0.0,4.1336186224960345,1.101191574132143
18,CHER,3,57942,47082,46559,523,6073,19180,18476,0,2306,524,1965,13.043665027169828,41.195042848858435,39.68298288193475,0.0,4.952855516656285,1.1254537253806998
19,CORREZE,1,55810,46203,45847,356,4339,17811,21883,0,1441,373,1965,9.464087072218465,38.848779636617444,47.73049490697319,0.0,3.1430627958208825,0.8135755883700133
19,CORREZE,2,61305,52378,51934,444,4790,22490,22024,0,2143,487,1965,9.223244887742135,43.304963992760044,42.407671275079906,0.0,4.126391188816575,0.9377286556013401
19,CORREZE,3,44786,36789,36474,315,3492,15086,16280,0,1238,378,1965,9.573943082743872,41.360969457695894,44.634534188737184,0.0,3.394198607227066,1.0363546635959862
20,CORSE,1,63092,37169,36991,178,3078,21745,8039,0,3967,162,1965,8.320942932064556,58.78456921953989,21.73231326538888,0.0,10.724230218161175,0.437944364845503
20,CORSE,2,49723,28534,28347,187,2423,15371,8293,0,2110,150,1965,8.547641725755811,54.22443292059124,29.255300384520407,0.0,7.443468444632589,0.5291565244999471
20,CORSE,3,65514,34914,34700,214,2216,19948,9329,0,3063,144,1965,6.3861671469740635,57.487031700288185,26.88472622478386,0.0,8.827089337175792,0.414985590778098
21,COTE-D'OR,1,67552,56505,56053,452,10724,22888,18810,0,2918,713,1965,19.13189302981107,40.83278325870159,33.55752591297522,0.0,5.20578737980126,1.272010418710863
21,COTE-D'OR,2,65325,54120,53701,419,10410,22754,16928,0,2904,705,1965,19.38511387125007,42.371650434814995,31.522690452691755,0.0,5.407720526619616,1.3128247146235639
21,COTE-D'OR,3,50990,41942,41515,427,8781,16728,13147,0,2294,565,1965,21.151391063471035,40.293869685655785,31.668071781283874,0.0,5.525713597494882,1.3609538720944236
21,COTE-D'OR,4,48885,41176,40781,395,7889,17344,13191,0,1805,552,1965,19.344792918270763,42.52960937691572,32.345945415757335,0.0,4.426080772908953,1.3535715161472255
22,COTES-D'ARMOR,1,78968,69428,69044,384,11013,32436,23324,0,1694,577,1965,15.950698105555878,46.978738195933026,33.781356815943454,0.0,2.453507908000695,0.8356989745669429
22,COTES-D'ARMOR,2,62508,53414,52982,432,9419,27030,15110,0,1079,344,1965,17.77773583481182,51.01732663923597,28.51911970103054,0.0,2.036540711939904,0.6492771129817674
22,COTES-D'ARMOR,3,57287,49229,48917,312,9179,22191,16232,0,941,374,1965,18.764437721037677,45.364597174806306,33.18273810740642,0.0,1.9236666189668215,0.7645603777827749
22,COTES-D'ARMOR,4,60727,52538,52284,254,8982,19223,22871,0,848,360,1965,17.179251778746846,36.76650600566139,43.74378394920052,0.0,1.6219111009104124,0.6885471654808354
22,COTES-D'ARMOR,5,67236,57575,57229,346,9510,25508,20444,0,1252,515,1965,16.61744919533803,44.57180799944084,35.72314735536179,0.0,2.1877020391759423,0.8998934106833948
23,CREUSE,1,53201,40474,40128,346,4638,17279,16174,0,1669,368,1965,11.558014354066986,43.05970893141946,40.30602073365231,0.0,4.159190590111643,0.9170653907496013
