Libellé;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ain;Taux de chômage localisés (moyenne annuelle) - Ensemble - Aisne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Allier;Taux de chômage localisés (moyenne annuelle) - Ensemble - Alpes-de-Haute-Provence;Taux de chômage localisés (moyenne annuelle) - Ensemble - Hautes-Alpes;Taux de chômage localisés (moyenne annuelle) - Ensemble - Alpes-Maritimes;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ardèche;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ardennes;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ariège;Taux de chômage localisés (moyenne annuelle) - Ensemble - Aube;Taux de chômage localisés (moyenne annuelle) - Ensemble - Aude;Taux de chômage localisés (moyenne annuelle) - Ensemble - Aveyron;Taux de chômage localisés (moyenne annuelle) - Ensemble - Bouches-du-Rhône;Taux de chômage localisés (moyenne annuelle) - Ensemble - Calvados;Taux de chômage localisés (moyenne annuelle) - Ensemble - Cantal;Taux de chômage localisés (moyenne annuelle) - Ensemble - Charente;Taux de chômage localisés (moyenne annuelle) - Ensemble - Charente-Maritime;Taux de chômage localisés (moyenne annuelle) - Ensemble - Cher;Taux de chômage localisés (moyenne annuelle) - Ensemble - Corrèze;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Garonne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Corse-du-Sud;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Corse;Taux de chômage localisés (moyenne annuelle) - Ensemble - Côte-d'Or;Taux de chômage localisés (moyenne annuelle) - Ensemble - Côtes-d'Armor;Taux de chômage localisés (moyenne annuelle) - Ensemble - Creuse;Taux de chômage localisés (moyenne annuelle) - Ensemble - Dordogne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Doubs;Taux de chômage localisés (moyenne annuelle) - Ensemble - Drôme;Taux de chômage localisés (moyenne annuelle) - Ensemble - Eure;Taux de chômage localisés (moyenne annuelle) - Ensemble - Eure-et-Loir;Taux de chômage localisés (moyenne annuelle) - Ensemble - Finistère;Taux de chômage localisés (moyenne annuelle) - Ensemble - Gard;Taux de chômage localisés (moyenne annuelle) - Ensemble - Gers;Taux de chômage localisés (moyenne annuelle) - Ensemble - Gironde;Taux de chômage localisés (moyenne annuelle) - Ensemble - Hérault;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ille-et-Vilaine;Taux de chômage localisés (moyenne annuelle) - Ensemble - Indre;Taux de chômage localisés (moyenne annuelle) - Ensemble - Indre-et-Loire;Taux de chômage localisés (moyenne annuelle) - Ensemble - Isère;Taux de chômage localisés (moyenne annuelle) - Ensemble - Jura;Taux de chômage localisés (moyenne annuelle) - Ensemble - Landes;Taux de chômage localisés (moyenne annuelle) - Ensemble - Loir-et-Cher;Taux de chômage localisés (moyenne annuelle) - Ensemble - Loire;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Loire;Taux de chômage localisés (moyenne annuelle) - Ensemble - Loire-Atlantique;Taux de chômage localisés (moyenne annuelle) - Ensemble - Loiret;Taux de chômage localisés (moyenne annuelle) - Ensemble - Lot;Taux de chômage localisés (moyenne annuelle) - Ensemble - Lot-et-Garonne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Lozère;Taux de chômage localisés (moyenne annuelle) - Ensemble - Maine-et-Loire;Taux de chômage localisés (moyenne annuelle) - Ensemble - Manche;Taux de chômage localisés (moyenne annuelle) - Ensemble - Marne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Marne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Mayenne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Meurthe-et-Moselle;Taux de chômage localisés (moyenne annuelle) - Ensemble - Meuse;Taux de chômage localisés (moyenne annuelle) - Ensemble - Morbihan;Taux de chômage localisés (moyenne annuelle) - Ensemble - Moselle;Taux de chômage localisés (moyenne annuelle) - Ensemble - Nièvre;Taux de chômage localisés (moyenne annuelle) - Ensemble - Nord;Taux de chômage localisés (moyenne annuelle) - Ensemble - Oise;Taux de chômage localisés (moyenne annuelle) - Ensemble - Orne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Pas-de-Calais;Taux de chômage localisés (moyenne annuelle) - Ensemble - Puy-de-Dôme;Taux de chômage localisés (moyenne annuelle) - Ensemble - Pyrénées-Atlantiques;Taux de chômage localisés (moyenne annuelle) - Ensemble - Hautes-Pyrénées;Taux de chômage localisés (moyenne annuelle) - Ensemble - Pyrénées-Orientales;Taux de chômage localisés (moyenne annuelle) - Ensemble - Bas-Rhin;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haut-Rhin;Taux de chômage localisés (moyenne annuelle) - Ensemble - Rhône;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Saône;Taux de chômage localisés (moyenne annuelle) - Ensemble - Saône-et-Loire;Taux de chômage localisés (moyenne annuelle) - Ensemble - Sarthe;Taux de chômage localisés (moyenne annuelle) - Ensemble - Savoie;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Savoie;Taux de chômage localisés (moyenne annuelle) - Ensemble - Ville-de-Paris;Taux de chômage localisés (moyenne annuelle) - Ensemble - Seine-Maritime;Taux de chômage localisés (moyenne annuelle) - Ensemble - Seine-et-Marne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Yvelines;Taux de chômage localisés (moyenne annuelle) - Ensemble - Deux-Sèvres;Taux de chômage localisés (moyenne annuelle) - Ensemble - Somme;Taux de chômage localisés (moyenne annuelle) - Ensemble - Tarn;Taux de chômage localisés (moyenne annuelle) - Ensemble - Tarn et Garonne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Var;Taux de chômage localisés (moyenne annuelle) - Ensemble - Vaucluse;Taux de chômage localisés (moyenne annuelle) - Ensemble - Vendée;Taux de chômage localisés (moyenne annuelle) - Ensemble - Vienne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Haute-Vienne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Vosges;Taux de chômage localisés (moyenne annuelle) - Ensemble - Yonne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Territoire de Belfort;Taux de chômage localisés (moyenne annuelle) - Ensemble - Essonne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Hauts-de-Seine;Taux de chômage localisés (moyenne annuelle) - Ensemble - Seine-Saint-Denis;Taux de chômage localisés (moyenne annuelle) - Ensemble - Val-de-Marne;Taux de chômage localisés (moyenne annuelle) - Ensemble - Val-d'Oise;Taux de chômage au sens du BIT (moyenne annuelle) - Ensemble - Guadeloupe;Taux de chômage au sens du BIT (moyenne annuelle) - Ensemble - Martinique;Taux de chômage au sens du BIT (moyenne annuelle) - Ensemble - Guyane;Taux de chômage au sens du BIT (moyenne annuelle) - Ensemble - La Réunion
IdBank;001784552;001784553;001784554;001784555;001784556;001784557;001784558;001784559;001784560;001784561;001784562;001784563;001784564;001784565;001784566;001784567;001784568;001784569;001784570;001784571;001784572;001784573;001784574;001784575;001784576;001784577;001784578;001784579;001784580;001784581;001784582;001784583;001784614;001784615;001784616;001784617;001784618;001784619;001784620;001784621;001784622;001784623;001784624;001784625;001784626;001784627;001784628;001784629;001784630;001784631;001784632;001784633;001784634;001784635;001784636;001784637;001784638;001784639;001784640;001784641;001784642;001784643;001784644;001784645;001784646;001784677;001784678;001784679;001784680;001784681;001784682;001784683;001784684;001784685;001784686;001784687;001784688;001784689;001784690;001784691;001784692;001784693;001784694;001784695;001784696;001784697;001784698;001784699;001784700;001784701;001784702;001784703;001784704;001784705;001784706;001784707;001787723;001787729;001787735;001787741
Dernière mise à jour;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016;30 Août 2016
Mode de représentation;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux
Correction;Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut);Non corrigé (brut)
Période de référence de l'indice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Périodicité;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle
Date de début;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;2014;2014;2014;2014
Date de fin;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015
Zone géographique;Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Zone métropolitaine infra-nationale (hors DOM);Départements d'Outre-Mer;Départements d'Outre-Mer;Départements d'Outre-Mer;Départements d'Outre-Mer
