circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
1-1,XAVIER BRETON,LAURENT MALLET,,LR,MDM,,0.33484694792006564,0.2862941940754318,,Davy Champion
1-2,CHARLES DE LA VERPILLIERE,MARIE-JEANNE BEGUET,,LR,MDM,,0.3311269520930985,0.26735516326049946,,Davy Champion
1-3,STEPHANIE PERNOD BEAUDON,OLGA GIVERNET,,LR,REM,,0.3303238882104806,0.30702696810280194,,Davy Champion
1-4,STEPHANE TROMPILLE,GUY BILLOUDET,,REM,LR,,0.30993110018416653,0.24400482129417886,,Davy Champion
1-5,DAMIEN ABAD,HELENE DE MEIRE,,LR,REM,,0.30974080706039925,0.2662119549825896,,Davy Champion
10-3,GERARD MENUEL,PASCAL LANDREAT,,LR,MDM,,0.30672669995552093,0.2744262626625702,,Davy Champion
11-2,MARIE-HELENE FABRE,ALAIN PEREA,,SOC,REM,,0.19989451266380906,0.19859904805490333,,Davy Champion
11-3,MIREILLE ROBERT,CHRISTELLE DE L'EPINOIS,,REM,FN,,0.2706236648681537,0.21584024138404598,,Davy Champion
12-1,YVES CENSI,STEPHANE MAZARS,,LR,REM,,0.311322634976101,0.2949421696247667,,Davy Champion
12-2,ANNE BLANC,PASCAL MAZET,,REM,FI,,0.34661972344351166,0.2207865182024235,,Davy Champion
12-3,JEAN-LOUIS AUSTRUY,ARNAUD VIALA,,REM,LR,,0.2894843451885065,0.28397151966864376,,Davy Champion
13-1,PASCAL CHAMASSIAN,VALERIE BOYER,,REM,LR,,0.2393868470308405,0.23273492491291795,,Davy Champion
13-10,FRANCOIS-MICHEL LAMBERT,LAURENT JACOBELLI,,REM,FN,,0.3212193197197401,0.22551297438945406,,Davy Champion
13-11,CHRISTIAN KERT,MOHAMED LAQHILA,,LR,MDM,,0.2909056887914194,0.2659074836554084,,Davy Champion
13-12,JEAN-LIN LACAPELLE,CAMILLE BAL,,FN,REM,,0.27935836955624094,0.25334567652799295,,Davy Champion
13-13,EMMANUEL FOUQUART,MAGALI SIREROLS,,FN,REM,,0.36330025513017666,0.36291299470070376,,Davy Champion
13-14,ANNE-LAURENCE PETEL,JEAN-DAVID CIOT,,REM,SOC,,0.2443122733607166,0.22173649708401905,,Davy Champion
13-16,VALERIE LAUPIES,MONICA MICHEL,,FN,REM,,0.2908108839506368,0.28535760520856923,,Davy Champion
13-2,DOMINIQUE TIAN,CLAIRE PITOLLAT,,LR,REM,,0.3272009085706663,0.2502925671488777,,Davy Champion
13-3,ALEXANDRA LOUIS,STEPHANE RAVIER,,REM,FN,,0.2444859465204434,0.22346362498361413,,Davy Champion
13-5,CATHY RACON-BOUZON,HENDRIK DAVI,,REM,FI,,0.26977499793293874,0.1939774384372679,,Davy Champion
13-6,GUY TEISSIER,ELEONORE LEPRETTRE,,LR,MDM,,0.278625809579332,0.2501926835021638,,Davy Champion
13-7,HENRI JIBRAYEL,OUALI BRINIS,,SOC,FI,,0.2262830460018568,0.19640718452932104,,Davy Champion
13-8,JEAN-MARC ZULESI,ANTOINE BAUDINO,,REM,FN,,0.2822230392308555,0.25641301885524226,,Davy Champion
14-1,FABRICE LE VIGOUREUX,SONIA DE LA PROVOTE,,REM,UDI,,0.3557820367655158,0.18474694943254233,,Davy Champion
14-2,ERIC HALPHEN,LAURENCE DUMONT,,REM,SOC,,0.2868368978373902,0.24846658216631878,,Davy Champion
14-3,CLOTILDE VALTER,FLORENCE LEHERICY,,SOC,MDM,,0.24850666046224693,0.22025373715195357,,Davy Champion
14-4,NICOLE AMELINE,CHRISTOPHE BLANCHET,,LR,REM,,0.352290258171149,0.28278895506444107,,Davy Champion
14-5,BERTRAND BOUYX,ISABELLE ATTARD,,REM,DVG,,0.27612632179377217,0.2573167801373326,,Davy Champion
14-6,ALAIN TOURRET,HUBERT PICARD,,REM,UDI,,0.35416582631745824,0.16239065362588287,,Davy Champion
15-1,FRANCOIS DANEMANS,VINCENT DESCOEUR,,REM,LR,,0.3476289304770604,0.2526419535691006,,Davy Champion
15-2,PATRICIA ROCHES,JEAN-YVES BONY,,REM,LR,,0.34259457069192717,0.309265273798943,,Davy Champion
16-1,THOMAS MESNIER,MARTINE PINVILLE,,REM,SOC,,0.2871244220584896,0.2572887231803483,,Davy Champion
16-2,SANDRA MARSAUD,DANIEL SAUVAITRE,,REM,LR,,0.3452104255742305,0.2209236925452806,,Davy Champion
16-3,MADELEINE NGOMBET BITOO,JEROME LAMBERT,,REM,SOC,,0.26118719195797463,0.25278377736257984,,Davy Champion
17-1,OTILIA FERREIRA,OLIVIER FALORNI,,MDM,DVG,,0.2881971948804003,0.2674688276182301,,Davy Champion
17-2,FREDERIQUE TUFFNELL,SYLVIE MARCILLY,,REM,LR,,0.36375219297632655,0.18902115157667726,,Davy Champion
17-3,JEAN-PHILIPPE ARDOUIN,FREDERIC NEVEU,,REM,LR,,0.3165820995579123,0.19614472263449917,,Davy Champion
17-4,RAPHAEL GERARD,LOIC GIRARD,,REM,LR,,0.28835130816843596,0.21414615809436494,,Davy Champion
17-5,DIDIER QUENTIN,SEVERINE WERBROUCK,,LR,FN,,0.46021798735812336,0.2482090314922304,,Davy Champion
18-1,FRANCOIS CORMIER-BOULIGEON,WLADIMIR D'ORMESSON,,REM,LR,,0.297579427084574,0.18482149003817677,,Davy Champion
18-2,NICOLAS SANSU,NADIA ESSAYAN,,COM,MDM,,0.3219156252729892,0.27118081728513926,,Davy Champion
18-3,YANN GALUT,LOIC KERVRAN,,SOC,REM,,0.24344619640567947,0.2272278229753774,,Davy Champion
19-1,CHRISTOPHE JERRETIE,JEAN-MARC VAREILLE,,REM,FI,,0.36702935601693576,0.22544084638828146,,Davy Champion
19-2,PHILIPPE NAUCHE,PATRICIA BORDAS,,SOC,REM,,0.2632341770377156,0.2588267164428843,,Davy Champion
2-1,DAMIEN PHILIPPOT,AUDE BONO-VANDORME,,FN,REM,,0.29044752939693913,0.25194618974400707,,Davy Champion
2-2,JULIEN DIVE,SYLVIE SAILLARD-MEUNIER,,LR,FN,,0.3298626735391884,0.30822700555046895,,Davy Champion
2-4,MARIE-FRANCOISE BECHTEL,MARC DELATTE,,DVG,REM,,0.22184762070654918,0.2180994900996033,,Davy Champion
2-5,JACQUES KRABAL,FRANCOIS DE VOYER,,REM,FN,,0.3184896451159186,0.2249610127851487,,Davy Champion
21-1,DIDIER MARTIN,ANNE ERSCHENS,,REM,LR,,0.3226274040669547,0.22944502100591505,,Davy Champion
21-2,FRANCOIS DESEILLE,REMI DELATTE,,REM,LR,,0.2689123075017062,0.26464804681604454,,Davy Champion
21-3,FADILA KHATTABI,KHEIRA BOUZIANE-LAROUSSI,,REM,DVG,,0.25880904035309477,0.2522754411705573,,Davy Champion
21-4,YOLAINE DE COURSON,CHARLES BARRIERE,,REM,LR,,0.24319947820774296,0.19864891243659089,,Davy Champion
22-1,BRUNO JONCOUR,MICHEL LESAGE,,MDM,SOC,,0.28192308519850195,0.25025204270324736,,Davy Champion
22-2,HERVE BERVILLE,VIVIANE LE DISSEZ,,REM,SOC,,0.2621330101019378,0.22511120230452622,,Davy Champion
22-3,MARC LE FUR,OLIVIER ALLAIN,,LR,REM,,0.32022096878248835,0.31108006882998573,,Davy Champion
22-4,YANNICK KERLOGOT,ANNIE LE HOUEROU,,REM,SOC,,0.26602849861458244,0.24607040857264084,,Davy Champion
22-5,ERIC BOTHOREL,JEAN-YVES DE CHAISEMARTIN,,REM,UDI,,0.38853459756340725,0.16599072081094043,,Davy Champion
23-1,JEAN-BAPTISTE MOREAU,MICHEL VERGNIER,,REM,SOC,,0.24429367839781066,0.224905607611182,,Davy Champion
24-1,PHILIPPE CHASSAING,HELENE REYS,,REM,FI,,0.3017771439723444,0.2249327628676237,,Davy Champion
24-2,MICHEL DELPON,BRIGITTE ALLAIN,,REM,ECO,,0.2408286420414268,0.23821497341220807,,Davy Champion
