circo,nom circo,color1,candidat1,score1,candidat2,score2,candidat3,score3,candidat4,score4
1-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
1-2,Ain 1,LR,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
1-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
1-4,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
1-5,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2-3,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2-4,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2-5,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
3-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
3-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
3-3,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
4-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
4-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-3,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-4,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-5,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-6,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
