,"Abstention, blanc ou nul",Alain Juppé,Bruno Le Maire,Emmanuel Macron,François Fillon,François Hollande,Manuel Valls,Marine Le Pen,Nicolas Sarkozy,Sondeur,Échantillon,date
1,0.0,,,,,50.0,,,50.0,Ifop,1 607,12/10/2012
2,28.0,,,,,47.0,,,53.0,Opinion Way,1 022,17/04/2013
1,36.0,,,,,,,33.0,67.0,CSA,1 027,28/04/2013
3,27.0,,,,,39.0,,,61.0,CSA,1 027,28/04/2013
1,36.0,,,,,54.0,,46.0,,Opinion Way,1 023,13/04/2014
2,37.0,,,,,,,33.0,67.0,Opinion Way,1 023,13/04/2014
4,36.0,,,,,39.0,,,61.0,Opinion Way,1 023,13/04/2014
2,0.0,,,,,46.0,,54.0,,Ifop,994.0,04/09/2014
1,0.0,,,,62.0,38.0,,,,Ifop,994.0,04/09/2014
3,0.0,,,,,,,40.0,60.0,Ifop,994.0,04/09/2014
5,0.0,,,,,39.0,,,61.0,Ifop,994.0,04/09/2014
1,0.0,66.0,,,,34.0,,,,Ifop,994.0,04/09/2014
1,0.0,64.0,,,,,,36.0,,Ifop,994.0,04/09/2014
1,0.0,,,,57.0,,,43.0,,Ifop,994.0,04/09/2014
6,0.0,,,,,43.0,,,57.0,Ifop,983.0,23/01/2015
2,0.0,60.0,,,,40.0,,,,Ifop,983.0,23/01/2015
1,0.0,,,,,,61.0,39.0,,Ifop,983.0,23/01/2015
3,0.0,,,,,55.0,,45.0,,Ifop,983.0,23/01/2015
4,0.0,,,,,,,40.0,60.0,Ifop,983.0,23/01/2015
4,37.0,,,,,51.0,,49.0,,CSA,951.0,29/01/2015
2,32.0,,,,,,60.0,40.0,,CSA,951.0,29/01/2015
5,43.0,,,,,,,43.0,57.0,CSA,951.0,29/01/2015
2,32.0,62.0,,,,,,38.0,,CSA,951.0,29/01/2015
7,40.0,,,,,40.0,,,60.0,Opinion Way,1 016,16/04/2015
6,39.0,,,,,,,37.0,63.0,Opinion Way,1 016,16/04/2015
5,33.0,,,,,52.0,,48.0,,Opinion Way,1 016,16/04/2015
3,26.0,70.0,,,,,,30.0,,Opinion Way,1 016,16/04/2015
3,35.0,70.0,,,,30.0,,,,Opinion Way,1 016,16/04/2015
1,32.0,,,,,,48.0,,52.0,Odoxa,1 021,30/04/2015
7,34.0,,,,,,,41.0,59.0,Odoxa,1 021,30/04/2015
8,35.0,,,,,40.0,,,60.0,Odoxa,1 021,30/04/2015
3,27.0,,,,,,55.0,45.0,,Odoxa,1 021,30/04/2015
6,30.0,,,,,48.0,,52.0,,Odoxa,1 021,30/04/2015
8,43.0,,,,,,,41.0,59.0,Odoxa,911.0,22/05/2015
9,41.0,,,,,42.0,,,58.0,Odoxa,911.0,22/05/2015
4,37.0,71.0,,,,29.0,,,,Odoxa,911.0,22/05/2015
4,27.0,67.0,,,,,,33.0,,Odoxa,911.0,22/05/2015
9,0.0,,,,,,,38.0,62.0,Harris Interactive,1 020,13/12/2015
7,0.0,,,,,60.0,,40.0,,Harris Interactive,1 020,13/12/2015
5,0.0,71.0,,,,,,29.0,,Harris Interactive,1 020,13/12/2015
10,44.0,,,,,,,36.0,64.0,TNS Sofres,1 000,15/12/2015
6,33.0,70.0,,,,,,30.0,,TNS Sofres,1 000,15/12/2015
5,34.0,70.0,,,,30.0,,,,Odoxa,1 011,15/01/2016
10,44.0,,,,,46.0,,,54.0,Odoxa,1 011,15/01/2016
1,36.0,,,64.0,,,,,36.0,Odoxa,1 011,15/01/2016
7,24.0,70.0,,,,,,30.0,,Odoxa,1 011,15/01/2016
1,36.0,61.0,,39.0,,,,,,Odoxa,1 011,15/01/2016
8,35.0,,,,,54.0,,46.0,,Odoxa,1 011,15/01/2016
1,28.0,,,65.0,,,,35.0,,Odoxa,1 011,15/01/2016
11,43.0,,,,,,,44.0,56.0,Odoxa,1 011,15/01/2016
13,0.0,,,,,,,42.0,58.0,Ifop,1 876,14/04/2016
2,0.0,,,,63.0,,,37.0,,Ifop,1 876,14/04/2016
1,0.0,,60.0,,,,,40.0,,Ifop,1 876,14/04/2016
10,0.0,,,,,47.0,,53.0,,Ifop,1 876,14/04/2016
9,0.0,67.0,,,,,,33.0,,Ifop,1 876,14/04/2016
2,34.0,,,61.0,,,,39.0,,Odoxa,949.0,15/04/2016
8,27.0,66.0,,,,,,34.0,,Odoxa,949.0,15/04/2016
9,42.0,,,,,47.0,,53.0,,Odoxa,949.0,15/04/2016
12,45.0,,,,,,,45.0,55.0,Odoxa,949.0,15/04/2016
