date	Marine Le Pen	François Fillon
04/09/2014	43.0	57.0
14/04/2016	37.0	63.0
17/04/2016	36.0	64.0
16/05/2016	35.0	65.0
12/06/2016	35.0	65.0
17/06/2016	40.0	60.0
11/09/2016	39.0	61.0
25/11/2016	29.0	71.0
27/11/2016	33.0	67.0
28/11/2016	34.0	66.0
29/11/2016	34.0	66.0
03/12/2016	35.0	65.0
04/12/2016	33.0	67.0
06/01/2017	36.0	64.0
08/01/2017	37.0	63.0
20/01/2017	38.0	62.0
27/01/2017	40.0	60.0
31/01/2017	41.0	59.0
01/02/2017	40.0	60.0
02/02/2017	40.0	60.0
08/02/2017	44.0	56.0
09/02/2017	40.0	60.0
17/02/2017	43.0	57.0
20/02/2017	45.0	55.0
21/02/2017	43.0	57.0
22/02/2017	43.0	57.0
24/02/2017	42.0	58.0
23/02/2017	42.5	57.5
24/02/2017	45.0	55.0
