date	Benoît Hamon	Emmanuel Macron	François Fillon	Jean-Luc Mélenchon	Marine Le Pen	Nicolas Dupont-Aignan
20170104	6.0	19.5	24.75	13.88	23.0	1.5
20170106	6.0	18.0	24.25	11.75	26.0	1.5
20170108	6.0	18.0	24.0	12.75	25.5	1.5
20170115	7.0	19.0	24.0	14.33	25.33	2.5
20170120	8.0	19.0	25.5	14.0	27.0	2.0
20170127	14.0	20.5	21.5	10.0	25.0	3.25
20170131	16.5	22.5	19.5	10.0	26.5	1.0
20170201	18.0	20.0	21.0	9.0	24.0	2.0
20170202	16.5	21.5	19.0	11.25	25.0	2.0
20170206	15.5	20.5	18.5	10.0	25.5	2.5
20170208	14.83	22.17	18.0	12.33	25.17	1.83
20170209	15.5	21.0	18.75	11.75	25.5	2.75
20170212	14.25	21.5	18.0	11.75	25.5	3.0
20170214	15.97	21.27	17.67	12.43	23.4	2.37
20170217	15.0	19.25	19.25	12.25	26.0	3.0
20170220	14.38	19.62	20.0	11.88	27.0	2.62
20170222	14.0	19.5	20.0	12.0	25.75	2.5
20170223	13.0	25.0	19.0	12.0	27.0	2.0
20170224	13.5	24.5	20.5	10.5	26.5	2.75
20170227	13.5	24.5	20.0	11.5	26.0	2.5
20170302	13.5	24.8	19.5	10.6	25.7	3.0
20170303	15.0	24.0	19.0	11.0	27.0	3.0
20170304	14.0	23.3	18.5	11.4	26.6	2.5
20170305	14.0	25.0	17.5	11.5	27.0	3.0
20170306	13.5	25.5	19.0	12.0	26.0	3.0
20170307	14.0	25.0	19.0	11.5	26.0	3.5
20170308	13.0	26.0	20.0	12.0	25.0	3.0
20170309	14.0	26.0	20.0	11.0	26.0	2.0
20170310	13.5	25.75	19.75	11.75	26.0	2.25
20170315	13.0	25.75	18.0	11.5	26.75	3.5
20170316	12.25	25.75	19.5	10.75	27.0	3.0
20170317	12.25	25.5	18.25	12.0	26.0	3.0
20170319	13.5	25.5	17.5	13.0	25.0	3.0
20170321	11.5	25.75	17.25	12.5	25.25	5.0
20170322	12.5	26.0	18.0	13.5	25.0	4.0
20170323	11.0	24.0	19.0	14.0	25.0	4.0
20170324	11.0	26.0	17.5	13.5	25.0	4.5
20170327	12.0	24.0	18.0	14.0	25.0	3.5
