,"Abstention, blanc ou nul",Alain Juppé,Bruno Le Maire,Emmanuel Macron,François Fillon,François Hollande,Manuel Valls,Marine Le Pen,Nicolas Sarkozy,Sondeur,Échantillon,date
1,,,,,,,,,,Ifop,1 607,05/10/2012
1,36.0,,,,,,,21.12,42.88,CSA,1 027,05/04/2013
3,27.0,,,,,28.47,,,44.53,CSA,1 027,05/04/2013
2,28.0,,,,,33.84,,,38.16,Opinion Way,1 022,05/04/2013
4,36.0,,,,,24.96,,,39.04,Opinion Way,1 023,05/04/2014
1,36.0,,,,,34.56,,29.44,,Opinion Way,1 023,05/04/2014
2,37.0,,,,,,,20.79,42.21,Opinion Way,1 023,05/04/2014
2,,,,,,,,,,Ifop,994.0,05/09/2014
1,,,,,,,,,,Ifop,994.0,05/09/2014
3,,,,,,,,,,Ifop,994.0,05/09/2014
5,,,,,,,,,,Ifop,994.0,05/09/2014
1,,,,,,,,,,Ifop,994.0,05/09/2014
1,,,,,,,,,,Ifop,994.0,05/09/2014
1,,,,,,,,,,Ifop,994.0,05/09/2014
2,32.0,,,,,,40.8,27.2,,CSA,951.0,05/01/2015
5,43.0,,,,,,,24.51,32.49,CSA,951.0,05/01/2015
4,,,,,,,,,,Ifop,983.0,05/01/2015
1,,,,,,,,,,Ifop,983.0,05/01/2015
6,,,,,,,,,,Ifop,983.0,05/01/2015
2,32.0,42.16,,,,,,25.84,,CSA,951.0,05/01/2015
2,,,,,,,,,,Ifop,983.0,05/01/2015
3,,,,,,,,,,Ifop,983.0,05/01/2015
4,37.0,,,,,32.13,,30.87,,CSA,951.0,05/01/2015
8,35.0,,,,,26.0,,,39.0,Odoxa,1 021,05/04/2015
7,40.0,,,,,24.0,,,36.0,Opinion Way,1 016,05/04/2015
3,35.0,45.5,,,,19.5,,,,Opinion Way,1 016,05/04/2015
6,39.0,,,,,,,22.57,38.43,Opinion Way,1 016,05/04/2015
1,32.0,,,,,,32.64,,35.36,Odoxa,1 021,05/04/2015
7,34.0,,,,,,,27.06,38.94,Odoxa,1 021,05/04/2015
5,33.0,,,,,34.84,,32.16,,Opinion Way,1 016,05/04/2015
3,26.0,51.8,,,,,,22.2,,Opinion Way,1 016,05/04/2015
6,30.0,,,,,33.6,,36.4,,Odoxa,1 021,05/04/2015
3,27.0,,,,,,40.15,32.85,,Odoxa,1 021,05/04/2015
8,43.0,,,,,,,23.37,33.63,Odoxa,911.0,05/05/2015
4,37.0,44.73,,,,18.27,,,,Odoxa,911.0,05/05/2015
9,41.0,,,,,24.78,,,34.22,Odoxa,911.0,05/05/2015
