            Benoît Hamon  Emmanuel Macron  François Fillon  \
2017-01-06         6.000        18.500000        24.333333   
2017-01-12         7.000        19.000000        24.000000   
2017-01-18         8.000        19.000000        25.500000   
2017-01-24        14.000        20.500000        21.500000   
2017-01-30        17.000        21.333333        19.833333   
2017-02-05        15.165        21.335000        18.250000   
2017-02-11        15.240        21.256667        18.140000   
2017-02-17        14.690        19.435000        19.625000   
2017-02-23        13.500        23.000000        19.833333   
2017-03-01        14.405        24.625000        19.062500   
2017-03-07        13.750        25.250000        19.000000   

            Jean-Luc Mélenchon  Marine Le Pen  Philippe Poutou  
2017-01-06           12.793333      24.833333         1.250000  
2017-01-12           14.330000      25.330000         1.000000  
2017-01-18           14.000000      27.000000         1.000000  
2017-01-24           10.000000      25.000000         0.500000  
2017-01-30           10.083333      25.166667         0.500000  
2017-02-05           11.165000      25.335000         0.835000  
2017-02-11           11.976667      24.800000         0.533333  
2017-02-17           12.065000      26.500000         0.500000  
2017-02-23           11.500000      26.416667         0.750000  
2017-03-01           11.437500      26.342500         0.782500  
2017-03-07           11.750000      26.000000         0.500000  
Done
